row\col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
S_in,1,0,1,2,1,2,0,0,1,0,1,0,1,1,1,1,1,0,3,2
T,0,1,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,1
S_out,3,0,2,2,3,2,2,0,3,3,4,3,0,1,2,2,5,3,4,1
D,0,0,1,0,0,2,0,1,0,3,3,0,1,0,0,0,0,0,0,3
OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
