row\col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
S_in,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1
T,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
S_out,0,0,0,0,0,0,0,1,1,0,1,23,1,5,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
